flow_duration,ip_proto,srcport,dstport,byte_count,packet_count,type
437820,6,52714,53,126,11,1
437593,6,52715,53,114,11,1
437398,6,52716,53,123,11,1
289015,6,52722,53,126,11,0
287450,6,52725,53,126,11,0
289973,6,52721,53,138,11,0
289031,6,52723,53,167,11,0
288467,6,52724,53,138,11,0
287775,6,52726,53,167,11,0
328434,6,52733,53,90,11,0
328610,6,52734,53,131,11,0
329482,6,52731,53,102,11,0
333749,6,52742,53,86,11,0
334358,6,52740,53,98,11,0
333845,6,52744,53,127,11,0
427708,6,52752,53,179,11,0
427473,6,52753,53,200,11,0
428599,6,52751,53,339,11,0
337592,6,52763,53,98,11,0
337408,6,52766,53,127,11,0
338116,6,52764,53,86,11,0
432885,6,52772,53,98,11,0
433252,6,52775,53,120,11,0
434000,6,52774,53,86,11,0
231409,6,52778,53,279,11,0
232227,6,52777,53,218,11,0
262368,6,52776,53,230,11,0
243241,6,52780,53,166,11,0
254278,6,52781,53,160,11,0
255677,6,52779,53,146,11,0
196551,6,52786,53,153,11,0
197465,6,52785,53,76,11,0
346174,6,52784,53,88,11,0
347617,6,52827,53,189,11,0
349085,6,52826,53,145,11,0
349804,6,52825,53,157,11,0
214916,6,52832,53,220,11,0
220338,6,52831,53,191,11,0
221074,6,52830,53,215,11,0
228086,6,52850,53,116,11,0
227898,6,52851,53,184,11,0
262780,6,52849,53,128,10,0
253833,6,52861,53,147,11,0
254498,6,52860,53,106,11,0
255437,6,52859,53,118,11,0
217058,6,52888,53,118,11,0
216945,6,52889,53,106,11,0
265830,6,52890,53,46,10,0
522,6,53,52890,101,3,0
224620,6,52895,53,203,11,0
225343,6,52894,53,141,11,0
269993,6,52893,53,153,11,0
206628,6,52905,53,130,11,0
207609,6,52904,53,126,11,0
207122,6,52906,53,143,11,0
262002,6,52908,53,150,10,0
261647,6,52909,53,171,11,0
263060,6,52907,53,198,11,0
180107,6,52915,53,82,11,0
190381,6,52916,53,153,11,0
321356,6,52918,53,130,11,0
321943,6,52917,53,126,10,0
321421,6,52919,53,143,11,0
483010,6,52914,53,94,11,0
316257,6,52955,53,153,11,0
384516,6,52957,53,203,11,0
385280,6,52956,53,141,11,0
305749,6,52973,53,144,11,0
305548,6,52974,53,209,11,0
306455,6,52972,53,352,11,0
228883,6,52984,53,279,11,0
228624,6,52985,53,265,11,0
226555,6,52988,53,101,11,0
227046,6,52987,53,92,11,0
230105,6,52983,53,351,11,0
324578,6,52986,53,104,11,0
224625,6,53016,53,199,11,0
230103,6,53015,53,359,11,0
229412,6,53017,53,212,11,0
457183,6,53041,53,193,11,0
457688,6,53040,53,272,11,0
202414,6,53043,53,108,11,0
202638,6,53045,53,96,10,0
232704,6,53049,53,189,11,0
244039,6,53046,53,41,10,0
238631,6,53048,53,145,11,0
1354,6,53,53046,64,3,0
239514,6,53047,53,157,11,0
