flow_duration,ip_proto,srcport,dstport,byte_count,packet_count,type
437820,6,52714,53,126,11,0
437593,6,52715,53,114,11,0
437398,6,52716,53,123,11,0
289015,6,52722,53,126,11,0
287450,6,52725,53,126,11,0
289973,6,52721,53,138,11,0
289031,6,52723,53,167,11,0
288467,6,52724,53,138,11,0
287775,6,52726,53,167,11,0
328434,6,52733,53,90,11,0
328610,6,52734,53,131,11,0
329482,6,52731,53,102,11,0
333749,6,52742,53,86,11,0
334358,6,52740,53,98,11,0
333845,6,52744,53,127,11,0
427708,6,52752,53,179,11,0
427473,6,52753,53,200,11,0
428599,6,52751,53,339,11,0
337592,6,52763,53,98,11,0
337408,6,52766,53,127,11,0
338116,6,52764,53,86,11,0
432885,6,52772,53,98,11,0
433252,6,52775,53,120,11,0
434000,6,52774,53,86,11,0
231409,6,52778,53,279,11,0
232227,6,52777,53,218,11,0
262368,6,52776,53,230,11,0
243241,6,52780,53,166,11,0
254278,6,52781,53,160,11,0
255677,6,52779,53,146,11,0
196551,6,52786,53,153,11,0
197465,6,52785,53,76,11,0
346174,6,52784,53,88,11,0
347617,6,52827,53,189,11,0
349085,6,52826,53,145,11,0
349804,6,52825,53,157,11,0
214916,6,52832,53,220,11,0
220338,6,52831,53,191,11,0
221074,6,52830,53,215,11,0
228086,6,52850,53,116,11,0
227898,6,52851,53,184,11,0
262780,6,52849,53,128,10,0
253833,6,52861,53,147,11,0
254498,6,52860,53,106,11,0
255437,6,52859,53,118,11,0
217058,6,52888,53,118,11,0
216945,6,52889,53,106,11,0
265830,6,52890,53,46,10,0
522,6,53,52890,101,3,0
224620,6,52895,53,203,11,0
225343,6,52894,53,141,11,0
269993,6,52893,53,153,11,0
206628,6,52905,53,130,11,0
207609,6,52904,53,126,11,0
207122,6,52906,53,143,11,0
262002,6,52908,53,150,10,0
261647,6,52909,53,171,11,0
263060,6,52907,53,198,11,0
180107,6,52915,53,82,11,0
190381,6,52916,53,153,11,0
321356,6,52918,53,130,11,0
321943,6,52917,53,126,10,0
321421,6,52919,53,143,11,0
483010,6,52914,53,94,11,0
316257,6,52955,53,153,11,0
384516,6,52957,53,203,11,0
385280,6,52956,53,141,11,0
305749,6,52973,53,144,11,0
305548,6,52974,53,209,11,0
306455,6,52972,53,352,11,0
228883,6,52984,53,279,11,0
228624,6,52985,53,265,11,0
226555,6,52988,53,101,11,0
227046,6,52987,53,92,11,0
230105,6,52983,53,351,11,0
324578,6,52986,53,104,11,0
224625,6,53016,53,199,11,0
230103,6,53015,53,359,11,0
229412,6,53017,53,212,11,0
457183,6,53041,53,193,11,0
457688,6,53040,53,272,11,0
202414,6,53043,53,108,11,0
202638,6,53045,53,96,10,0
232704,6,53049,53,189,11,0
244039,6,53046,53,41,10,0
238631,6,53048,53,145,11,0
1354,6,53,53046,64,3,0
239514,6,53047,53,157,11,0
769995,6,53039,53,392,11,0
224465,6,53067,53,96,11,0
225021,6,53066,53,108,11,0
224479,6,53068,53,105,11,0
282101,6,53095,53,100,11,0
281900,6,53096,53,88,11,0
281719,6,53097,53,129,11,0
282493,6,53101,53,126,11,0
283085,6,53100,53,138,11,0
301891,6,53102,53,167,11,0
30419610,6,53034,443,0,4,0
30249638,6,53080,443,0,4,0
30493645,6,53093,443,0,4,0
30493797,6,53091,443,0,4,0
30493260,6,53094,443,0,4,0
987,6,53094,443,0,2,0
961,6,53091,443,0,2,0
60636500,6,52933,443,0,4,0
60636300,6,52935,443,0,4,0
60635929,6,52936,443,0,4,0
117136651,0,0,0,0,40,0
92539739,6,62627,443,380,16,0
321081,6,53109,53,100,11,0
320857,6,53110,53,88,11,0
320637,6,53111,53,129,11,0
274414,6,53114,53,138,11,0
277426,6,53116,53,167,11,0
276897,6,53117,53,138,11,0
276402,6,53119,53,167,11,0
278364,6,53115,53,126,10,0
277057,6,53118,53,126,11,0
182083,6,53129,53,86,11,0
195312,6,53128,53,98,11,0
195336,6,53130,53,127,11,0
101905021,0,0,0,0,5,0
90731200,0,0,0,0,4,0
90714528,0,0,0,0,4,0
60502449,6,65496,4070,55,9,0
90209432,6,62407,443,657,9,0
90138174,0,0,0,0,4,0
93377036,6,65487,443,264,16,0
90070403,17,57621,57621,176,4,0
89922041,0,0,0,0,2,0
80390597,0,0,0,0,3,0
80314601,0,0,0,0,3,0
118178927,0,0,0,0,5,0
118318616,0,0,0,0,5,0
258777,6,53137,53,130,11,0
258114,6,53139,53,152,10,0
256033,6,53141,53,86,11,0
256674,6,53140,53,98,11,0
259069,6,53138,53,118,11,0
255235,6,53143,53,98,11,0
254985,6,53144,53,86,11,0
254711,6,53145,53,120,11,0
